,Box,slot,month,day,year,session,river,site,habitat,egg,JULIAN.DAY,TEMP,CONDUCTIVITY,membrane.diameter.1,membrane.diameter.2,membrane.diameter.3,membrane.diameter.4,yolk.diameter.1,yolk.diameter.2,yolk.diameter.3,yolk.diameter.4,larval.length,MEMBRANE.AVE,MEMBRANE.SD,membrane.cv,yolk.to.membrane.ratio,YOLK.AVE,YOLK.SD,yolk.cv,Egg.Stage,compact.diffuse,Pigment,sticky.debris,deflated,comments,Questionable.genetics,common.name,Lab,Family,Genus,species,common.name.ACGC,Family.ACGC,Genus.ACGC,species.ACGC
557,Box 5,C4,5,15,2014,3,DSM,CLF,CHAN,1,135,15.5,496,3.352161,3.340755,3.332054,3.299985,2.128558,2.208567,2.452007,2.21593,0,3.33123875,0.022403579,0.0067253,0.675804309,2.2512655,0.139554099,0.061989179,3,C,N,Y,N,,,,Roe,,,,,,,
558,Box 11,E3,6,5,2014,5,IAR,DNE,BACK,1,156,25.3,582,1.284026,1.354216,1.321414,1.299113,1.140926,0.9749389,0.9149994,0.9826344,1.824775,1.31469225,0.03049831,0.02319806,0.763201179,1.003374675,0.096556216,0.096231466,7,C,Y,N,Y,,NO,Freshwater Drum,Roe,Sciaenidae,Aplodinotus,Aplodinotus grunniens,Freshwater Drum,Sciaenidae,Aplodinotus,Aplodinotus grunniens
559,Box 27,D3,6,11,2015,6,UMR,DNI,THAL,16-00684,162,24.9,332,1.710858,1.757406,1.749088,1.729816,1.710858,1.757406,1.749088,1.729816,0,1.736792,0.020795557,0.011973545,1,1.736792,0.020795557,0.011973545,D,D,N,N,N,,NO,Freshwater Drum,Roe,Sciaenidae,Aplodinotus,Aplodinotus grunniens,Freshwater Drum,Sciaenidae,Aplodinotus,Aplodinotus grunniens
560,Box 21,C6,7,30,2015,11,IAR,MTH,THAL,16-00126,211,28.3,494,1.356297,1.588595,1.185731,1.892293,0.9708481,0.8560735,0.922909,0.9592386,2.732127,1.505729,0.306064886,0.203266913,0.615826155,0.9272673,0.051668824,0.055721607,8,C,N,Y,Y,,,,UWSP,,,,,,,
561,Box 2,C5,6,5,2014,5,CDR,CON,THAL,3,156,24.1,486,2.15792,1.915516,1.941776,2.014391,1.15134,0.9914167,1.152144,1.12174,2.155107,2.00740075,0.108711121,0.054155166,0.550044716,1.104160175,0.076482078,0.069267195,7,C,N,Y,Y,,,,Roe,,,,,,,
562,Box 18,D5,6,21,2014,7,UMR,DNS,CHAN,24,172,25.2,367,1.449345,1.50505,1.46454,1.499126,1.151044,1.004626,1.090578,1.064004,0,1.47951525,0.026901717,0.018182791,0.728321658,1.077563,0.060752229,0.056379283,5,C,Y,N,N,,NO,Freshwater Drum,UWSP,Sciaenidae,Aplodinotus,Aplodinotus grunniens,Freshwater Drum,Sciaenidae,Aplodinotus,Aplodinotus grunniens
563,Box 6,C8,8,16,2014,13,SKK,MTH,CHAN,5,228,24,289,1.4131,1.432642,1.473664,1.323172,1.054558,0.9795171,1.017309,1.020071,0,1.4106445,0.063542152,0.045044766,0.721559383,1.017863775,0.030670905,0.030132623,6,C,Y,N,N,,NO,Freshwater Drum,Roe,Sciaenidae,Aplodinotus,Aplodinotus grunniens,Freshwater Drum,Sciaenidae,Aplodinotus,Aplodinotus grunniens
564,Box 19,G5,5,11,2015,3,DSM,KQA,THAL,2015-EG-03-DSM-KQA-T-005,131,20,668,1.61553,1.618485,1.633493,1.604734,1.272387,1.232794,1.343849,1.295889,0,1.6180605,0.011865093,0.007332911,0.794920678,1.28622975,0.046405029,0.036078336,4,C,Y,N,N,,NO,Freshwater Drum,UWSP,Sciaenidae,Aplodinotus,Aplodinotus grunniens,Freshwater Drum,Sciaenidae,Aplodinotus,Aplodinotus grunniens
565,Box 4,C2,5,7,2014,2,IAR,DNE,THAL,3,127,16.3,557,1.726341,1.898011,1.843824,1.74906,1.726341,1.898011,1.843824,1.74906,0,1.804309,0.080566662,0.044652364,1,1.804309,0.080566662,0.044652364,D,D,N,Y,Y,single large debris,,,Roe,,,,,,,
566,Box 18,D6,6,21,2014,7,UMR,DNS,CHAN,25,172,25.2,367,1.44058,1.461685,1.429219,1.46587,0.98494,0.9708565,0.9669766,0.9819853,0,1.4493385,0.01738996,0.01199855,0.673541481,0.9761896,0.008630971,0.00884149,4,C,Y,N,N,,NO,Freshwater Drum,UWSP,Sciaenidae,Aplodinotus,Aplodinotus grunniens,Freshwater Drum,Sciaenidae,Aplodinotus,Aplodinotus grunniens
567,Box 2,C6,5,27,2014,4,UMR,DNS,CHAN,3,147,20.7,307,1.645091,1.503345,1.818743,1.430737,1.556575,1.200634,1.647002,1.54759,0,1.599479,0.171145907,0.107001034,0.930271826,1.48795025,0.196735307,0.132219009,4,C,N,N,Y,broken yolk,YES,Freshwater Drum,Roe,Sciaenidae,Aplodinotus,Aplodinotus grunniens,Freshwater Drum,Sciaenidae,Aplodinotus,Aplodinotus grunniens
568,Box 6,C9,7,29,2014,11,DSM,MTH,THAL,4,210,25.4,480,1.283917,1.304376,1.259996,1.328432,1.247731,1.238014,1.261258,1.297444,1.74764,1.29418025,0.029160664,0.02253215,0.974448304,1.26111175,0.026029498,0.02064012,7,C,Y,N,N,,NO,Freshwater Drum,Roe,Sciaenidae,Aplodinotus,Aplodinotus grunniens,Freshwater Drum,Sciaenidae,Aplodinotus,Aplodinotus grunniens
569,Box 8,C2,7,20,2014,10,UMR,UPI,BACK,6,201,24.6,468,1.570547,1.348332,1.613686,1.54242,1.150368,1.123016,1.20434,1.125488,2.246,1.51874625,0.117329077,0.077253904,0.757732241,1.150803,0.037768444,0.032819209,7,C,Y,N,N,,NO,Freshwater Drum,Roe,Sciaenidae,Aplodinotus,Aplodinotus grunniens,Freshwater Drum,Sciaenidae,Aplodinotus,Aplodinotus grunniens
570,Box 4,C3,6,13,2014,6,IAR,MTH,CHAN,3,164,21.4,556,1.454019,0.9712808,1.449292,1.181057,1.440229,1.030469,0.8796336,0.9774611,0,1.2639122,0.233098253,0.184425985,0.856031119,1.081948175,0.246889983,0.228190212,D,D,N,Y,Y,,,,Roe,,,,,,,
571,Box 11,E4,6,5,2014,5,IAR,DNE,BACK,2,156,25.3,582,1.123297,1.129766,1.124136,1.098774,1.123297,1.129766,1.124136,1.098774,0,1.11899325,0.013782118,0.012316534,1,1.11899325,0.013782118,0.012316534,D,D,N,N,N,,NO,Freshwater Drum,Roe,Sciaenidae,Aplodinotus,Aplodinotus grunniens,Freshwater Drum,Sciaenidae,Aplodinotus,Aplodinotus grunniens
572,Box 27,D4,6,24,2015,7,DSM,KQA,THAL,16-00685,175,23.6,477,2.479254,1.692444,2.016683,2.263728,2.479254,1.692444,2.016683,2.263728,0,2.11302725,0.338134704,0.160023825,1,2.11302725,0.338134704,0.160023825,D,D,N,N,Y,,NO,Silver Carp,Roe,Cyprinidae,Hypophthalmichthys,Hypophthalmichthys molitrix,ACGC,ACGC,ACGC,ACGC
573,Box 17,C7,6,21,2014,7,IAR,MTH,THAL,45,172,26.3,473,3.236188,2.547179,2.455473,2.779357,1.490784,1.364844,1.342411,1.389687,0,2.75454925,0.348826764,0.126636605,0.507136149,1.3969315,0.065479939,0.046874123,5,C,N,Y,Y,,NO,Silver Carp,UWSP,Cyprinidae,Hypophthalmichthys,Hypophthalmichthys molitrix,ACGC,ACGC,ACGC,ACGC
574,Box 21,C7,5,3,2015,2,IAR,UPE,THAL,16-00127,123,16.6,634,1.710121,1.647026,1.745572,1.759198,1.710121,1.647026,1.745572,1.759198,0,1.71547925,0.05010476,0.029207442,1,1.71547925,0.05010476,0.029207442,D,D,N,N,Y,,,,UWSP,,,,,,,
575,Box 6,D1,7,31,2014,11,DSM,KQA,CHAN,2,212,24.5,550,1.497171,1.44027,1.489095,1.462761,1.147006,1.019351,1.157879,1.379355,0,1.47232425,0.025932925,0.017613596,0.798667651,1.17589775,0.149511589,0.12714676,5,C,Y,N,N,,NO,Freshwater Drum,Roe,Sciaenidae,Aplodinotus,Aplodinotus grunniens,Freshwater Drum,Sciaenidae,Aplodinotus,Aplodinotus grunniens
576,Box 14,E6,5,27,2014,4,UMR,DND,THAL,35,147,19.9,332,2.071909,1.295223,1.811905,1.6530863,2.071909,1.295223,1.811905,1.6530863,0,1.708030825,0.324872473,0.190202933,1,1.708030825,0.324872473,0.190202933,4,C,N,N,Y,,NO,Silver Carp,Roe,Cyprinidae,Hypophthalmichthys,Hypophthalmichthys molitrix,ACGC,ACGC,ACGC,ACGC
577,Box 10,E2,7,28,2014,11,UMR,DNI,BACK,2,209,24.7,504,1.206124,1.201085,1.145939,1.323278,1.0938,1.098344,1.070333,1.038914,0,1.2191065,0.074606756,0.061197899,0.882078596,1.07534775,0.02721445,0.025307581,4,C,Y,N,N,,NO,Freshwater Drum,Roe,Sciaenidae,Aplodinotus,Aplodinotus grunniens,Freshwater Drum,Sciaenidae,Aplodinotus,Aplodinotus grunniens
578,Box 7,B6,5,27,2014,4,UMR,DND,BACK,5,147,19.9,332,1.204921,1.735507,1.315011,1.859988,0.5794147,0.6149708,0.563233,0.6192188,0,1.52885675,0.31781368,0.20787669,0.388662525,0.594209325,0.027294238,0.045933709,4,C,N,N,Y,,,,Roe,,,,,,,
579,Box 6,D2,7,20,2014,10,IAR,MTH,CHAN,2,201,25,483,2.463518,2.558978,2.540368,2.387232,0.8660754,1.256162,0.9740422,0.8940358,3.017712,2.487524,0.078597998,0.03159688,0.401032854,0.99757885,0.178356889,0.178789766,8,C,N,N,Y,,,,Roe,,,,,,,
580,Box 14,E7,5,27,2014,4,UMR,DND,THAL,36,147,19.9,332,1.823773,1.860644,1.889007,1.883859,1.658395,1.642417,1.536852,1.60033,0,1.86432075,0.029714153,0.015938327,0.863316304,1.6094985,0.054271142,0.033719287,4,C,N,Y,Y,,YES,Freshwater Drum,Roe,Sciaenidae,Aplodinotus,Aplodinotus grunniens,Freshwater Drum,Sciaenidae,Aplodinotus,Aplodinotus grunniens
581,Box 11,E5,6,5,2014,5,IAR,DNE,BACK,3,156,25.3,582,1.371655,1.318515,1.347385,1.35392,1.170608,0.9756556,1.084107,0.9991952,2.325548,1.34786875,0.022092834,0.016390939,0.784491405,1.05739145,0.088692842,0.083878909,7,C,Y,N,Y,,NO,Freshwater Drum,Roe,Sciaenidae,Aplodinotus,Aplodinotus grunniens,Freshwater Drum,Sciaenidae,Aplodinotus,Aplodinotus grunniens
582,Box 16,E3,6,4,2014,5,UMR,DNS,CHAN,8,155,24.7,308,1.343335,1.014109,1.065391,1.26632,1.343335,1.014109,1.065391,1.26632,0,1.17228875,0.157635294,0.134467975,1,1.17228875,0.157635294,0.134467975,D,D,N,Y,Y,,NO,Emerald Shiner,Roe,Cyprinidae,Notropis,Notropis atherinoides,Emerald Shiner,Cyprinidae,Notropis,Notropis atherinoides
583,Box 27,D6,7,10,2015,9,UMR,UPS,THAL,16-00687,191,23.7,460,1.455704,1.479276,1.524271,1.444356,1.266264,0.994083,1.070121,1.191813,0,1.47590175,0.035374442,0.023968019,0.766019994,1.13057025,0.121718732,0.107661362,4,C,N,N,N,,NO,Freshwater Drum,Roe,Sciaenidae,Aplodinotus,Aplodinotus grunniens,Freshwater Drum,Sciaenidae,Aplodinotus,Aplodinotus grunniens
584,Box 18,D7,6,21,2014,7,UMR,DNS,CHAN,26,172,25.2,367,NA,NA,NA,NA,0.8313555,0.8937623,0.7809836,0.7798045,0,NA,NA,NA,NA,0.821476475,0.053848745,NA,5,C,N,N,NO MEMBRANE,,,,UWSP,,,,,,,
585,Box 2,C7,6,13,2014,6,IAR,MTH,THAL,3,164,21.4,556,0.9925618,2.115445,1.163886,1.743013,0.8018238,0.9035441,0.829801,0.8135728,0,1.50372645,0.519049923,0.345175762,0.556740506,0.837185425,0.045701948,0.054589994,4,C,N,Y,Y,,,,Roe,,,,,,,
586,Box 2,C8,8,7,2014,12,UMR,UPI,CHAN,3,219,25.8,496,1.300713,1.288889,1.310898,1.317175,1.129596,1.190812,1.033466,1.095333,0,1.30441875,0.012377511,0.009488909,0.852718308,1.11230175,0.065741829,0.059104312,6,C,Y,N,N,was incorrectly labeled as DNI.it has been corrected on this sheet only,NO,Freshwater Drum,Roe,Sciaenidae,Aplodinotus,Aplodinotus grunniens,Freshwater Drum,Sciaenidae,Aplodinotus,Aplodinotus grunniens
587,Box 27,D7,5,24,2015,4,CDR,CON,BACK,16-00688,144,18.4,561,1.219143,1.301766,1.167161,1.172787,0.7991531,0.9351944,0.8594206,0.8539032,0,1.21521425,0.062224933,0.051204907,0.709272316,0.861917825,0.05591463,0.064872344,4,C,N,Y,Y,,,,Roe,,,,,,,
588,Box 5,C5,5,5,2014,2,DSM,KQA,CHAN,2,125,17,503,1.811233,1.77207,1.89837,1.826846,1.811233,1.77207,1.89837,1.826846,0,1.82712975,0.052787424,0.028890901,1,1.82712975,0.052787424,0.028890901,D,D,N,Y,Y,,,,Roe,,,,,,,
589,Box 4,C4,9,1,2014,15,CDR,CON,THAL,3,244,24.8,454,NA,NA,NA,NA,0.8743895,1.377212,1.055535,0.9281977,1.800544,NA,NA,NA,NA,1.05883355,0.225433694,NA,7,C,N,N,NO MEMBRANE,no membrane,,,Roe,,,,,,,
590,Box 21,C8,5,3,2015,2,IAR,UPE,THAL,16-00128,123,16.6,634,1.86391,1.787039,1.858898,1.849627,1.86391,1.787039,1.858898,1.849627,0,1.8398685,0.035713209,0.01941074,1,1.8398685,0.035713209,0.01941074,D,D,N,Y,N,,NO,Bigmouth Buffalo,UWSP,Catostomidae,Ictiobus,Ictiobus cyprinellus,Bigmouth Buffalo,Catostomidae,Ictiobus,Ictiobus cyprinellus
591,Box 8,C3,8,7,2014,12,CDR,CON,BACK,6,219,23.4,473,1.523129,1.223816,1.512432,1.471742,1.027564,1.022808,1.160005,1.058247,0,1.43277975,0.141057168,0.098450001,0.744815105,1.067156,0.06386073,0.059841982,6,C,N,N,Y,,,,Roe,,,,,,,
592,Box 10,E3,7,28,2014,11,UMR,DNI,BACK,3,209,24.7,504,1.495945,1.486946,1.477596,1.492436,1.152918,1.070235,1.045119,1.137858,0,1.48823075,0.007998797,0.005374702,0.740162438,1.1015325,0.052032131,0.047236129,5,C,Y,N,N,,NO,Freshwater Drum,Roe,Sciaenidae,Aplodinotus,Aplodinotus grunniens,Freshwater Drum,Sciaenidae,Aplodinotus,Aplodinotus grunniens
593,Box 7,B7,9,1,2014,15,CDR,CON,CHAN,3,244,24.8,454,NA,NA,NA,NA,1.139675,0.891023,1.117964,0.9607703,0,NA,NA,NA,NA,1.027358075,0.120893493,NA,6,C,N,N,NO MEMBRANE,no membrane,,,Roe,,,,,,,
594,Box 27,D8,5,31,2015,5,DSM,KQA,THAL,16-00689,151,18.7,661,2.822436,2.011938,2.893344,2.323565,2.100688,1.295835,1.893985,2.257223,0,2.51282075,0.419269529,0.166852144,0.750922146,1.88693275,0.421209552,0.223224464,6,C,N,N,Y,,NO,Grass Carp,Roe,Cyprinidae,Ctenopharyngodon,Ctenopharyngodon idella,ACGC,ACGC,ACGC,ACGC
595,Box 11,E6,6,5,2014,5,IAR,MTH,CHAN,1,156,24.1,489,1.383428,1.159508,1.29836,1.278064,1.147326,1.274298,0.9742216,1.21104,1.885784,1.27984,0.092297361,0.072116328,0.899894831,1.1517214,0.129188774,0.11217016,7,C,Y,N,N,,NO,Freshwater Drum,Roe,Sciaenidae,Aplodinotus,Aplodinotus grunniens,Freshwater Drum,Sciaenidae,Aplodinotus,Aplodinotus grunniens
596,Box 21,C9,5,24,2015,4,IAR,UPE,THAL,16-00129,144,18.5,524,1.301766,1.126123,1.344748,1.250222,1.023668,0.8821376,1.037663,0.9548669,0,1.25571475,0.094642889,0.075369736,0.77611884,0.974583875,0.071468642,0.073332469,4,C,N,Y,Y,,,,UWSP,,,,,,,
597,Box 19,H2,5,24,2015,4,CDR,CON,CHAN,2015-EG-04-CDR-CON-C-001,144,18.4,561,2.963996,2.929325,2.963004,3.082809,0.9553068,1.066548,0.9329079,1.042964,1.628926,2.9847835,0.067308025,0.022550388,0.334842267,0.999431675,0.065248452,0.065285556,7,C,N,N,Y,,NO,Speckled Chub,UWSP,Cyprinidae,Macrhybopsis,Macrhybopsis aestivalis,Speckled Chub,Cyprinidae,Macrhybopsis,Macrhybopsis aestivalis
598,Box 8,C4,6,21,2014,7,UMR,UPS,CHAN,8,172,25.1,340,1.38092,1.409527,1.316688,1.31388,1.144916,1.163917,1.222771,1.159335,0,1.35525375,0.047621586,0.035138501,0.865324852,1.17273475,0.034325963,0.029270014,4,C,N,Y,Y,,,,Roe,,,,,,,
599,Box 5,C6,5,28,2014,4,IAR,DNE,CHAN,1,148,23.5,603,1.673706,2.395126,2.712522,1.661455,0.8030003,0.9835594,0.9521954,0.8619495,0,2.11070225,0.527848683,0.25008202,0.426481826,0.90017615,0.082791286,0.091972317,5,C,N,Y,Y,membrane broken,,,Roe,,,,,,,
600,Box 3,D1,5,28,2014,4,CDR,CON,THAL,1,148,23.4,465,3.081309,1.882563,2.581207,2.537369,2.144988,1.215822,1.461429,1.47667,0,2.520612,0.49174526,0.195089629,0.624740043,1.57472725,0.398523115,0.253074375,BROKEN,C,N,N,Y,BROKEN YOLK,,,Roe,,,,,,,
601,Box 18,D8,6,21,2014,7,UMR,DNS,CHAN,27,172,25.2,367,2.529397,1.624405,2.154346,2.255449,1.191498,0.881177,0.9892024,1.016416,0,2.14089925,0.37903354,0.177044081,0.476236026,1.01957335,0.128639028,0.126169469,5,C,N,N,Y,,,,UWSP,,,,,,,
602,Box 27,D9,6,11,2015,6,UMR,UPI,THAL,16-00690,162,25,341,1.574482,1.520729,1.573536,1.512175,0.8939652,1.006056,0.9134908,0.9791968,0,1.5452305,0.033415771,0.021625104,0.61361538,0.9481772,0.053085649,0.055987055,4,C,Y,N,N,,NO,Freshwater Drum,Roe,Sciaenidae,Aplodinotus,Aplodinotus grunniens,Freshwater Drum,Sciaenidae,Aplodinotus,Aplodinotus grunniens
603,Box 19,H3,5,24,2015,4,CDR,CON,CHAN,2015-EG-04-CDR-CON-C-002,144,18.4,561,1.277043,1.206673,1.243216,1.16211,0.9538764,0.9208772,0.94573,0.90471,0,1.2222605,0.049333248,0.040362303,0.761947555,0.9312984,0.022609597,0.0242775,4,C,N,Y,Y,,NO,Emerald Shiner,UWSP,Cyprinidae,Notropis,Notropis atherinoides,Emerald Shiner,Cyprinidae,Notropis,Notropis atherinoides
604,Box 8,C5,7,20,2014,10,CDR,CON,CHAN,1,201,24.8,559,1.597369,1.192147,1.583954,1.026475,0.931074,1.138641,0.9590893,1.029603,2.144832,1.34998625,0.286072188,0.211907483,0.751564562,1.014601825,0.092500973,0.091169729,8,C,N,Y,Y,,,,Roe,,,,,,,
605,Box 4,C5,5,28,2014,4,CDR,CON,BACK,3,148,23.4,465,1.637916,1.713538,1.655998,1.669608,1.206559,1.150809,1.195602,1.159795,0,1.669265,0.032243807,0.01931617,0.705814385,1.17819125,0.027055949,0.02296397,5,C,Y,N,N,,NO,Freshwater Drum,Roe,Sciaenidae,Aplodinotus,Aplodinotus grunniens,Freshwater Drum,Sciaenidae,Aplodinotus,Aplodinotus grunniens
606,Box 8,C6,7,28,2014,11,UMR,UPI,BACK,1,209,24.7,522,1.153765,1.043568,1.094975,1.088304,1.015616,0.9341081,0.9063145,0.9669455,0,1.095153,0.045252327,0.041320552,0.87270548,0.955746025,0.046980555,0.049155899,4,C,N,Y,Y,,,,Roe,,,,,,,
607,Box 16,E5,6,13,2014,6,CDR,CON,BACK,4,164,22.7,569,2.480473,2.269673,2.323781,2.411973,0.8776525,0.82603,0.8838933,0.85458731,0,2.371475,0.093379185,0.039375994,0.362871537,0.860540778,0.026233496,0.030484896,5,C,N,Y,Y,,NO,Striped Bass,Roe,Moronidae,Morone,Morone saxatilis,Striped Bass,Moronidae,Morone,Morone saxatilis
608,Box 21,C10,5,24,2015,4,IAR,UPE,THAL,16-00130,144,18.5,524,2.099054,1.619199,1.734303,1.863046,0.9473944,1.05014,1.028581,0.9379794,0,1.8289005,0.205809163,0.112531635,0.541868571,0.9910237,0.056634799,0.057147774,4,C,N,Y,Y,,,,UWSP,,,,,,,
609,Box 5,C7,6,5,2014,5,SKK,DNC,BACK,2,156,24.2,558,1.272761,1.257872,1.261659,1.272624,0.8880734,1.053779,0.9981627,1.124556,0,1.266229,0.00762206,0.006019496,0.802495263,1.016142775,0.099824781,0.098238932,5,C,Y,N,N,,,,Roe,,,,,,,
610,Box 27,D10,5,31,2015,5,UMR,UPS,THAL,16-00691,151,20.9,434,2.994177,3.47931,3.494752,3.341461,1.633204,1.248625,1.677044,1.591732,0,3.327425,0.232607407,0.069906131,0.462114473,1.53765125,0.195807361,0.127341854,6,C,N,N,Y,,NO,Grass Carp,Roe,Cyprinidae,Ctenopharyngodon,Ctenopharyngodon idella,ACGC,ACGC,ACGC,ACGC
611,Box 27,E1,6,10,2015,6,DSM,CLF,THAL,16-00692,161,24.1,649,2.50886,1.792907,2.594897,2.136451,2.50886,1.792907,2.594897,2.136451,0,2.25827875,0.368562828,0.163205197,1,2.25827875,0.368562828,0.163205197,D,D,N,Y,Y,,NO,Silver Carp,Roe,Cyprinidae,Hypophthalmichthys,Hypophthalmichthys molitrix,ACGC,ACGC,ACGC,ACGC
612,Box 18,D9,6,21,2014,7,UMR,DNS,CHAN,28,172,25.2,367,1.482628,1.506108,1.499469,1.499292,1.153419,0.9313039,1.079464,1.142508,0,1.49687425,0.010013258,0.006689445,0.719281346,1.076673725,0.102248326,0.094966863,5,C,Y,N,N,,NO,Freshwater Drum,UWSP,Sciaenidae,Aplodinotus,Aplodinotus grunniens,Freshwater Drum,Sciaenidae,Aplodinotus,Aplodinotus grunniens
613,Box 8,C7,8,6,2014,12,UMR,UPS,THAL,1,218,26.8,474,1.51406,1.544968,1.491276,1.506457,1.190812,1.41362,1.13858,1.158769,0,1.51419025,0.022599062,0.01492485,0.809307318,1.22544525,0.127279866,0.10386418,5,C,N,N,N,,NO,Freshwater Drum,Roe,Sciaenidae,Aplodinotus,Aplodinotus grunniens,Freshwater Drum,Sciaenidae,Aplodinotus,Aplodinotus grunniens
614,Box 10,E4,7,29,2014,11,DSM,MTH,CHAN,1,210,25.4,480,1.669607,1.316538,1.189285,1.401302,1.240933,0.8359491,1.052767,0.8811985,0,1.394183,0.203241233,0.145778017,0.719211108,1.0027119,0.184237296,0.183739014,4,C,N,N,Y,BROKEN YOLK; likely not a drum,YES,Freshwater Drum,Roe,Sciaenidae,Aplodinotus,Aplodinotus grunniens,Freshwater Drum,Sciaenidae,Aplodinotus,Aplodinotus grunniens
615,Box 5,C8,7,28,2014,11,UMR,DNI,CHAN,1,209,24.7,504,2.862647,2.660058,2.652018,2.697551,1.104469,0.9490511,1.095333,0.9166595,0,2.7180685,0.098406973,0.036204744,0.373933972,1.01637815,0.09741767,0.095847859,6,C,N,N,Y,,,,Roe,,,,,,,
616,Box 2,C9,6,20,2014,7,DSM,MTH,THAL,3,171,28.3,510,1.394363,1.378214,1.417287,1.39668,1.135367,1.135182,1.100808,1.178998,2.302912,1.396636,0.016031244,0.01147847,0.814520569,1.13758875,0.032032682,0.028158403,7,C,Y,N,N,,NO,Freshwater Drum,Roe,Sciaenidae,Aplodinotus,Aplodinotus grunniens,Freshwater Drum,Sciaenidae,Aplodinotus,Aplodinotus grunniens
617,Box 21,D1,5,24,2015,4,IAR,UPE,THAL,16-00131,144,18.5,524,1.331811,1.165675,1.142007,1.246941,0.9607703,1.00042,0.8789966,0.9839586,0,1.2216085,0.086122552,0.070499306,0.782604554,0.956036375,0.053873598,0.056350992,4,C,N,Y,Y,,,,UWSP,,,,,,,
618,Box 21,D2,7,11,2015,9,IAR,UPE,BACK,16-00132,192,24.2,535,1.610135,1.473347,1.164232,2.181477,1.219832,0.9587274,0.9245199,1.51793,0,1.60729775,0.425809004,0.264922292,0.718754397,1.155252325,0.275417942,0.23840501,4,C,N,Y,Y,,,,UWSP,,,,,,,
619,Box 8,C8,8,7,2014,12,UMR,DNI,BACK,1,219,25.8,489,1.37976,1.30903,1.399979,1.308282,1.37976,1.30903,1.399979,1.308282,0,1.34926275,0.04761063,0.035286404,1,1.34926275,0.04761063,0.035286404,D,D,Y,N,Y,,NO,Freshwater Drum,Roe,Sciaenidae,Aplodinotus,Aplodinotus grunniens,Freshwater Drum,Sciaenidae,Aplodinotus,Aplodinotus grunniens
620,Box 21,D3,7,11,2015,9,IAR,UPE,BACK,16-00133,192,24.2,535,1.106632,0.929656,1.103368,1.219617,1.012093,1.02283,0.6811043,0.9093035,0,1.08981825,0.119674503,0.109811432,0.83163656,0.9063327,0.158633246,0.175027609,4,C,N,Y,Y,,,,UWSP,,,,,,,
621,Box 27,E2,6,10,2015,6,DSM,KQA,CHAN,16-00693,161,24.8,633,3.757447,3.302057,3.594459,3.058637,1.248723,1.378687,1.329232,1.24704,0,3.42815,0.310126049,0.090464551,0.37948179,1.3009205,0.064489939,0.049572544,6,C,N,Y,Y,,,,Roe,,,,,,,
622,Box 8,C9,6,13,2014,6,UMR,DNI,THAL,1,164,21.9,349,0.9375314,0.9572107,1.018782,0.9299007,0.9924087,0.9199072,0.8851093,0.90965,0,0.9608562,0.040294653,0.041936195,0.964523932,0.9267688,0.046131137,0.049776316,5,C,N,Y,Y,likely not a drum,YES,Freshwater Drum,Roe,Sciaenidae,Aplodinotus,Aplodinotus grunniens,Freshwater Drum,Sciaenidae,Aplodinotus,Aplodinotus grunniens
623,Box 14,E8,5,27,2014,4,UMR,DND,THAL,37,147,19.9,332,4.75478,2.5231,3.419348,2.942689,3.319051,2.2278171,2.31941,2.701555,0,3.40997925,0.968416545,0.28399485,0.774772537,2.641958275,0.495834862,0.187677022,4,C,N,N,Y,,NO,Silver Carp,Roe,Cyprinidae,Hypophthalmichthys,Hypophthalmichthys molitrix,ACGC,ACGC,ACGC,ACGC
624,Box 4,C6,6,5,2014,5,UMR,DNI,CHAN,3,156,24.3,312,1.473545,1.616607,1.559592,1.664995,1.306906,1.261618,1.247576,1.41362,0,1.57868475,0.082272832,0.052114795,0.828176746,1.30743,0.075183844,0.057505063,5,C,Y,N,N,,,,Roe,,,,,,,
625,Box 8,D1,7,28,2014,11,IAR,MTH,CHAN,4,209,24.2,472,1.312497,1.297781,1.327589,1.287098,0.9577764,1.132223,1.086924,1.032197,0,1.30624125,0.017634253,0.013499997,0.805578679,1.0522801,0.0751118,0.071380044,5,C,Y,N,N,,,,Roe,,,,,,,
626,Box 6,D3,9,1,2014,15,IAR,DNE,BACK,3,244,25.1,458,1.23305,0.8525696,1.142007,1.08164,0.8375509,0.6965559,0.8393465,0.6425934,0,1.07731665,0.162242253,0.150598482,0.699897913,0.754011675,0.099960046,0.132570953,1,C,N,N,N,4 prong yolk,,,Roe,,,,,,,
627,Box 7,B8,5,27,2014,4,UMR,UPD,BACK,6,147,19.9,328,1.643571,1.625835,1.632775,1.65362,1.152993,1.274298,1.015245,1.244701,0,1.63895025,0.012202409,0.007445259,0.714975485,1.17180925,0.116452518,0.099378391,6,C,Y,N,N,,NO,Freshwater Drum,Roe,Sciaenidae,Aplodinotus,Aplodinotus grunniens,Freshwater Drum,Sciaenidae,Aplodinotus,Aplodinotus grunniens
628,Box 6,D4,5,7,2014,2,CDR,CON,THAL,4,127,15.2,516,1.933254,2.323452,2.178932,2.032805,1.933254,2.323452,2.178932,2.032805,0,2.11711075,0.170596349,0.080579794,1,2.11711075,0.170596349,0.080579794,D,D,N,Y,N,small debris,,,Roe,,,,,,,
